i,j,k,probability
0,0,83,0.9755148575639467
0,0,84,0.9776018452074434
0,0,85,0.9785709969297746
0,0,86,0.9795044270295568
0,0,87,0.9803394246060894
0,0,88,0.9812044668555424
0,0,89,0.9820502698318384
0,0,90,0.9828501946064112
0,0,91,0.983581303464962
0,0,92,0.9842804363573889
0,0,93,0.9847647491592201
0,0,94,0.9856644512112321
0,0,95,0.9863670655313096
0,0,96,0.9869276788801227
0,0,97,0.9873727565952685
0,0,98,0.9877885247997701
0,0,99,0.9877885247997701
0,1,0,0.5234012198648297
0,1,1,0.5262304119951713
0,1,2,0.5291899040417054
0,1,3,0.5322849463559645
0,1,4,0.5355225493436627
0,1,5,0.538910357388935
0,1,6,0.542455447779002
0,1,7,0.5461650568313688
0,1,8,0.5500418986433395
0,1,9,0.5540928032375538
0,1,10,0.5583359753234334
0,1,11,0.5627822960590158
0,1,12,0.5674355991806972
0,1,13,0.5722995529666707
0,1,14,0.5773538541208738
0,1,15,0.5826414028979731
0,1,16,0.588241328582499
0,1,17,0.5941135236035142
0,1,18,0.6002193717089902
0,1,19,0.6065375768493584
0,1,20,0.6129672098459318
0,1,21,0.6199666212405075
0,1,22,0.6277130777140095
0,1,23,0.635452541853641
0,1,24,0.6431726655114032
0,1,25,0.65087644071326
0,1,26,0.6585444192729779
0,1,27,0.6661563878434491
0,1,28,0.6736971905158871
0,1,29,0.6811848022565457
0,1,30,0.6885912665825917
0,1,31,0.6959787523158951
0,1,32,0.7033062877194876
0,1,33,0.7106165937640092
0,1,34,0.7179611082787054
0,1,35,0.7253619576353109
0,1,36,0.7327820788905633
0,1,37,0.7401276647346884
0,1,38,0.7474063941865853
0,1,39,0.7546449827021221
0,1,40,0.7618174348304622
0,1,41,0.7689114737007863
0,1,42,0.7759862376888826
0,1,43,0.782999551832785
0,1,44,0.7899310470089708
0,1,45,0.7968009439206452
0,1,46,0.8035516530242761
0,1,47,0.8101969131741287
0,1,48,0.8165576548351686
0,1,49,0.8227686313244238
0,1,50,0.8286972436825133
0,1,51,0.83449106720318
0,1,52,0.84020778100842
0,1,53,0.846005727869276
0,1,54,0.8518813357718805
0,1,55,0.8578534996945064
0,1,56,0.8639009549937332
0,1,57,0.8699270920212111
0,1,58,0.8758016584509819
0,1,59,0.8813847558449845
0,1,60,0.8867918198623128
0,1,61,0.8920376047612418
0,1,62,0.8973802904464061
0,1,63,0.9024997601393523
0,1,64,0.9073655202320728
0,1,65,0.9118315158358046
0,1,66,0.9159841504021262
0,1,67,0.9199397525281252
0,1,68,0.9236703202107897
0,1,69,0.9272230760073135
0,1,70,0.930651141689314
0,1,71,0.9339760490016655
0,1,72,0.9373326956136984
0,1,73,0.9408844357098304
0,1,74,0.9446816053934317
0,1,75,0.9487470217654512
0,1,76,0.9526263133573414
0,1,77,0.9559007332199663
0,1,78,0.9585121331756226
0,1,79,0.9621701049976079
0,1,80,0.9656036452196476
0,1,81,0.9687726055626606
0,1,82,0.9717403147516592
0,1,83,0.974524524004298
0,1,84,0.976582510697496
0,1,85,0.9775947574316722
0,1,86,0.9785697804777922
0,1,87,0.9794420567343608
0,1,88,0.9803457905447258
0,1,89,0.9812294949395632
0,1,90,0.9820653293231386
0,1,91,0.9828293130223699
0,1,92,0.9835599315903262
0,1,93,0.9840660834683796
0,1,94,0.9850064163127535
0,1,95,0.9857408156873594
0,1,96,0.9863268246867638
0,1,97,0.9867920861071453
0,1,98,0.9872267262935991
0,1,99,0.9872267262935991
0,2,0,0.5161701775919739
0,2,1,0.5190062589617996
0,2,2,0.5219730685860995
0,2,3,0.5250757187687701
0,2,4,0.5283212025667553
0,2,5,0.5317172091518731
0,2,6,0.5352709518532421
0,2,7,0.5389895568134018
0,2,8,0.5428765765236341
0,2,9,0.5469371036720108
0,2,10,0.5511901119489245
0,2,11,0.5556469913731017
0,2,12,0.5603120130314108
0,2,13,0.5651882062945629
0,2,14,0.5702592219467133
0,2,15,0.5755532748492729
0,2,16,0.5811650410432053
0,2,17,0.587053289586328
0,2,18,0.5931783362580356
0,2,19,0.5995163815399317
0,2,20,0.6059793687912618
0,2,21,0.6129293584488393
0,2,22,0.62072388675142
0,2,23,0.6285078275373852
0,2,24,0.6362666616058842
0,2,25,0.6440076405156558
0,2,26,0.6517072820313283
0,2,27,0.6593652588970743
0,2,28,0.6669362610913447
0,2,29,0.67445703197319
0,2,30,0.6819109403830997
0,2,31,0.6893509256390701
0,2,32,0.696767756252716
0,2,33,0.7041806705052954
0,2,34,0.7116747710214076
0,2,35,0.7191659641292074
0,2,36,0.7266667830787783
0,2,37,0.7341158054880901
0,2,38,0.7414978817584221
0,2,39,0.7488308294426276
0,2,40,0.7561014598422955
0,2,41,0.7633018719484179
0,2,42,0.7704809050469685
0,2,43,0.777610520968246
0,2,44,0.7846571831749379
0,2,45,0.7916184893829725
0,2,46,0.7984453790123961
0,2,47,0.8051274419860815
0,2,48,0.8115174659430084
0,2,49,0.8177801010848251
0,2,50,0.8237775480832092
0,2,51,0.8296791318683981
0,2,52,0.8355755594306156
0,2,53,0.8415496793395763
0,2,54,0.8476281850339278
0,2,55,0.8537665129026452
0,2,56,0.8600103150477167
0,2,57,0.8661397714697382
0,2,58,0.8720803695410042
0,2,59,0.8777198069344909
0,2,60,0.8832409493512322
0,2,61,0.8886303238994219
0,2,62,0.8941118620881437
0,2,63,0.8993201014466671
0,2,64,0.904236518206591
0,2,65,0.9087566624512514
0,2,66,0.9129958342797436
0,2,67,0.9170599701486042
0,2,68,0.9209012622045756
0,2,69,0.924549349435811
0,2,70,0.928084619350867
0,2,71,0.9315360364408874
0,2,72,0.9350445047899538
0,2,73,0.9387527866362521
0,2,74,0.9427464057151508
0,2,75,0.9469649094635066
0,2,76,0.9509358036550528
0,2,77,0.9540888538997063
0,2,78,0.9569228402140939
0,2,79,0.9607042934936737
0,2,80,0.964256029928096
0,2,81,0.9675361409326682
0,2,82,0.9706098245609928
0,2,83,0.973495193803166
0,2,84,0.9755174193820411
0,2,85,0.9765746014982629
0,2,86,0.9775930017601612
0,2,87,0.9785041625877117
0,2,88,0.9794482613907187
0,2,89,0.9803715130386927
0,2,90,0.9812448223631257
0,2,91,0.9820431190445403
0,2,92,0.9828066052173934
0,2,93,0.9833355573192484
0,2,94,0.9843183148220077
0,2,95,0.9850859077203007
0,2,96,0.9856984409498123
0,2,97,0.9861847850856158
0,2,98,0.9866391394774433
0,2,99,0.9866391394774433
0,3,0,0.5088999203217905
0,3,1,0.5117417237263951
0,3,2,0.5147146194985246
0,3,3,0.5178235929166666
0,3,4,0.5210756213331703
0,3,5,0.5244784312173605
0,3,6,0.5280393610251737
0,3,7,0.5317654399348867
0,3,8,0.5356609675589731
0,3,9,0.5397294618516775
0,3,10,0.5439906017259077
0,3,11,0.5484562203398672
0,3,12,0.5531310187920382
0,3,13,0.5580174410277117
0,3,14,0.5631026276103751
0,3,15,0.5684015674923679
0,3,16,0.5740230595940448
0,3,17,0.5799247304862156
0,3,18,0.5860662317552884
0,3,19,0.5924211610396495
0,3,20,0.5989126870197727
0,3,21,0.6058166988723117
0,3,22,0.6136536830985014
0,3,23,0.6214762571320817
0,3,24,0.6292701686928223
0,3,25,0.6370422627612657
0,3,26,0.6447658548316351
0,3,27,0.6524686466501531
0,3,28,0.6600700689176198
0,3,29,0.6676236684630052
0,3,30,0.6751258979220917
0,3,31,0.6826277604337712
0,3,32,0.6901302148570098
0,3,33,0.6976972189221928
0,3,34,0.7052981970494573
0,3,35,0.7128895957037595
0,3,36,0.7204724221785571
0,3,37,0.7279998197247666
0,3,38,0.7354785934014557
0,3,39,0.7429004002146411
0,3,40,0.7502720472338695
0,3,41,0.7575850641280304
0,3,42,0.7648698971879871
0,3,43,0.7721082801043332
0,3,44,0.7792657230577935
0,3,45,0.7863061823819262
0,3,46,0.793197387025681
0,3,47,0.7999062446562448
0,3,48,0.8063386755522255
0,3,49,0.8126650279972994
0,3,50,0.8187533861244358
0,3,51,0.8247864977168817
0,3,52,0.8308462794356912
0,3,53,0.837035976388454
0,3,54,0.843288022733884
0,3,55,0.8496216415174477
0,3,56,0.8560294769417757
0,3,57,0.8622533661059378
0,3,58,0.8682197673800118
0,3,59,0.8739451926487797
0,3,60,0.8795814248411401
0,3,61,0.8851424972809439
0,3,62,0.8907400019140594
0,3,63,0.8960200559234465
0,3,64,0.9009897628274719
0,3,65,0.9055889300862985
0,3,66,0.9099206650157539
0,3,67,0.914095270837065
0,3,68,0.9180422862364115
0,3,69,0.921782840973193
0,3,70,0.9254328753292553
0,3,71,0.9290308312877171
0,3,72,0.9326923793825229
0,3,73,0.9365697557847613
0,3,74,0.9407575749631323
0,3,75,0.9451291408540182
0,3,76,0.949190607762253
0,3,77,0.9522037667131691
0,3,78,0.9552829052027809
0,3,79,0.9591906255894663
0,3,80,0.9628633780312887
0,3,81,0.9662574315792881
0,3,82,0.9694398813741887
0,3,83,0.9724291971566529
0,3,84,0.9744045761120678
0,3,85,0.9755086054653584
0,3,86,0.976572237279062
0,3,87,0.9775239522637719
0,3,88,0.9785101564969838
0,3,89,0.9794746677559542
0,3,90,0.9803870811895175
0,3,91,0.9812211881267031
0,3,92,0.9820189810862916
0,3,93,0.9825717346268464
0,3,94,0.9835987859737381
0,3,95,0.9844010404906455
0,3,96,0.9850412746138848
0,3,97,0.9855496389726358
0,3,98,0.9860245860142945
0,3,99,0.9860245860142945
0,4,0,0.5015947418695216
0,4,1,0.5044411028015372
0,4,2,0.5074188411411082
0,4,3,0.5105328520465113
0,4,4,0.5137900973510512
0,4,5,0.5171983313033088
0,4,6,0.5207649844417317
0,4,7,0.5244970067425371
0,4,8,0.5283992820940202
0,4,9,0.5324741627936361
0,4,10,0.5367418031406246
0,4,11,0.5412143881655114
0,4,12,0.5458969255840622
0,4,13,0.5507914159102584
0,4,14,0.555887814916951
0,4,15,0.5611910873488656
0,4,16,0.5668202302571554
0,4,17,0.5727324357452548
0,4,18,0.5788866404372488
0,4,19,0.585254756890915
0,4,20,0.5917694814167028
0,4,21,0.5986398648363143
0,4,22,0.6065072932021129
0,4,23,0.6143598733937781
0,4,24,0.6221799850813743
0,4,25,0.629978180172656
0,4,26,0.6377282120408045
0,4,27,0.6454615262541545
0,4,28,0.6530962237790141
0,4,29,0.6606894049633353
0,4,30,0.6682531100554769
0,4,31,0.6758294267720515
0,4,32,0.6834436418824276
0,4,33,0.6911251508545944
0,4,34,0.698857486499334
0,4,35,0.7065338718379794
0,4,36,0.7141954824349588
0,4,37,0.7218064046644194
0,4,38,0.7293739504950375
0,4,39,0.7368808216699752
0,4,40,0.7443481832627173
0,4,41,0.7517756991052399
0,4,42,0.7591591416773713
0,4,43,0.7665008765661316
0,4,44,0.7737588894423912
0,4,45,0.780853493293108
0,4,46,0.7877809737683275
0,4,47,0.7945238227336551
0,4,48,0.8010322590513774
0,4,49,0.807431191369571
0,4,50,0.8136375317233164
0,4,51,0.8198053040758938
0,4,52,0.8260582991382401
0,4,53,0.8324410467217476
0,4,54,0.8388765068635291
0,4,55,0.8454118433527631
0,4,56,0.8519517452793179
0,4,57,0.8582411340360061
0,4,58,0.8642300890017545
0,4,59,0.8700771323004403
0,4,60,0.8758222124892905
0,4,61,0.8815484520135707
0,4,62,0.8872624616063516
0,4,63,0.8926077266857717
0,4,64,0.8976439570414392
0,4,65,0.90232545391078
0,4,66,0.9067470655086299
0,4,67,0.9110406926779441
0,4,68,0.9150980437372012
0,4,69,0.9189317309901048
0,4,70,0.9227020989067667
0,4,71,0.9264591185664506
0,4,72,0.9302801235915067
0,4,73,0.9343356181650242
0,4,74,0.9387272284965267
0,4,75,0.9432367675792077
0,4,76,0.947390043483347
0,4,77,0.9502494648772866
0,4,78,0.9535831609351695
0,4,79,0.9576209144556058
0,4,80,0.9614184080632464
0,4,81,0.9649300167220751
0,4,82,0.9682247779677708
0,4,83,0.9713215186616637
0,4,84,0.9732419042050574
0,4,85,0.9743947662344687
0,4,86,0.97550555613653
0,4,87,0.9764995605630146
0,4,88,0.9775296798400674
0,4,89,0.9785372318075617
0,4,90,0.9794904445379379
0,4,91,0.9803619202063013
0,4,92,0.9811955184333498
0,4,93,0.9817731161512676
0,4,94,0.9828464086384427
0,4,95,0.9836848547515836
0,4,96,0.9843540163662872
0,4,97,0.9848853784529199
0,4,98,0.9853818342363817
0,4,99,0.9853818342363817
0,5,0,0.4942327978407929
0,5,1,0.49708283911431483
0,5,2,0.5000644998663138
0,5,3,0.5031825742507247
0,5,4,0.506444027962814
0,5,5,0.5098566434460354
0,5,6,0.5134279315056756
0,5,7,0.517164747516796
0,5,8,0.5210725387726706
0,5,9,0.525152474279285
